business_month,driver_earnings
Lyft2,234875.5296087265
Uber4,2.950689272036143E8
Uber1,2.502534806616289E8
Lyft1,239932.2593984604
Uber2,2.5215597708423987E8
Lyft5,360408.08971881866
Uber5,3.130051145308317E8
Lyft4,297815.3794941902
Lyft3,310276.54944992065
Uber3,2.9595849599784005E8
