business_month,platform_profits
Uber5,1.6313361550055724E8
Uber1,1.3319711162465689E8
Lyft1,-72633.3500049822
Uber2,1.3062880563633615E8
Lyft2,-70064.72000297531
Lyft4,-90197.13001759537
Lyft5,-107719.21000343934
Uber3,1.5207287641912195E8
Lyft3,-99403.93998675235
Uber4,1.502698201941709E8
